Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2021,926,"United Kingdom",02,"Liquid bulk carriers",1.0472,,,15,,,12314,,,20577,,,,,"Not available or not separately reported",166094,,,321300,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",07,"Liquefied petroleum gas carriers",1.0528,,,12,,,6629,,,7117,,,,,"Not available or not separately reported",47072,,,54517,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",08,"Liquefied natural gas carriers",1.2271,,,8,,,96285,,,77849,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",05,"Dry bulk carriers",3.0042,,,13,,,25844,,,44194,,,,,"Not available or not separately reported",94970,,,182983,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",04,"Dry breakbulk carriers",1.5236,,,19,,,3386,,,4699,,,,,"Not available or not separately reported",48292,,,62074,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,24916,,,9852,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021,926,"United Kingdom",03,"Container ships",0.8271,,,16,,,33874,,,,,"Not available or not separately reported",3114,,,236583,,,,,"Not available or not separately reported",23992,,
2021,926,"United Kingdom",01,"Passenger ships",,,"Not available or not separately reported",19,,,13100,,,,,"Not available or not separately reported",,,"Not available or not separately reported",184089,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021,842,"United States of America",00,"All ships",1.5743,,,26,,,15546,,,47736,,,5417,,,228741,,,322829,,,21237,,
2021,842,"United States of America",02,"Liquid bulk carriers",1.5944,,,11,,,34735,,,60081,,,,,"Not available or not separately reported",170611,,,322829,,,,,"Not available or not separately reported"
2021,842,"United States of America",07,"Liquefied petroleum gas carriers",1.8288,,,9,,,30329,,,34475,,,,,"Not available or not separately reported",61000,,,63770,,,,,"Not available or not separately reported"
2021,842,"United States of America",08,"Liquefied natural gas carriers",1.2681,,,6,,,105208,,,83898,,,,,"Not available or not separately reported",149367,,,121946,,,,,"Not available or not separately reported"
2021,842,"United States of America",05,"Dry bulk carriers",2.2097,,,19,,,29718,,,53227,,,,,"Not available or not separately reported",108237,,,208775,,,,,"Not available or not separately reported"
2021,842,"United States of America",04,"Dry breakbulk carriers",2.0285,,,17,,,12703,,,17358,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2021,842,"United States of America",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,58940,,,21558,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021,842,"United States of America",03,"Container ships",1.2486,,,15,,,60554,,,,,"Not available or not separately reported",5417,,,228741,,,,,"Not available or not separately reported",21237,,
2021,842,"United States of America",01,"Passenger ships",,,"Not available or not separately reported",30,,,5968,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,0000,"World",00,"All ships",1.0431,,,18,,,14168,,,25666,,,3420,,,236673,,,404389,,,24004,,
2022,0000,"World",02,"Liquid bulk carriers",0.9889,,,15,,,16202,,,28313,,,,,"Not available or not separately reported",170618,,,323514,,,,,"Not available or not separately reported"
2022,0000,"World",07,"Liquefied petroleum gas carriers",1.0326,,,16,,,10811,,,12097,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2022,0000,"World",08,"Liquefied natural gas carriers",1.1187,,,12,,,96487,,,75432,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2022,0000,"World",05,"Dry bulk carriers",2.1847,,,14,,,32590,,,58378,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2022,0000,"World",04,"Dry breakbulk carriers",1.1382,,,21,,,5550,,,7628,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2022,0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,26062,,,10447,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2022,0000,"World",03,"Container ships",0.8042,,,15,,,37005,,,,,"Not available or not separately reported",3420,,,236673,,,,,"Not available or not separately reported",24004,,
2022,0000,"World",01,"Passenger ships",,,"Not available or not separately reported",20,,,8192,,,,,"Not available or not separately reported",,,"Not available or not separately reported",235600,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,036,"Australia",00,"All ships",1.5847,,,17,,,32787,,,82328,,,4540,,,168666,,,297902,,,9578,,
2022,036,"Australia",02,"Liquid bulk carriers",1.3236,,,9,,,24166,,,40959,,,,,"Not available or not separately reported",90000,,,158694,,,,,"Not available or not separately reported"
2022,036,"Australia",07,"Liquefied petroleum gas carriers",0.8483,,,8,,,13355,,,14380,,,,,"Not available or not separately reported",53471,,,58814,,,,,"Not available or not separately reported"
2022,036,"Australia",08,"Liquefied natural gas carriers",1.233,,,10,,,111849,,,86181,,,,,"Not available or not separately reported",149367,,,97975,,,,,"Not available or not separately reported"
2022,036,"Australia",05,"Dry bulk carriers",1.6729,,,11,,,59696,,,111681,,,,,"Not available or not separately reported",152311,,,297902,,,,,"Not available or not separately reported"
2022,036,"Australia",04,"Dry breakbulk carriers",2.1937,,,12,,,17941,,,26955,,,,,"Not available or not separately reported",57934,,,80500,,,,,"Not available or not separately reported"
2022,036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",11,,,42380,,,15416,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2022,036,"Australia",03,"Container ships",1.6396,,,14,,,49542,,,,,"Not available or not separately reported",4540,,,109712,,,,,"Not available or not separately reported",9578,,
2022,036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",26,,,5016,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,124,"Canada",00,"All ships",0.6465,,,26,,,11562,,,33569,,,4812,,,225282,,,321300,,,16000,,
2022,124,"Canada",02,"Liquid bulk carriers",1.0604,,,13,,,23699,,,39500,,,,,"Not available or not separately reported",162706,,,321300,,,,,"Not available or not separately reported"
2022,124,"Canada",07,"Liquefied petroleum gas carriers",1.4059,,,9,,,47807,,,54440,,,,,"Not available or not separately reported",51035,,,58757,,,,,"Not available or not separately reported"
2022,124,"Canada",05,"Dry bulk carriers",0.3639,,,21,,,27476,,,47076,,,,,"Not available or not separately reported",109731,,,210898,,,,,"Not available or not separately reported"
2022,124,"Canada",04,"Dry breakbulk carriers",0.2875,,,10,,,10006,,,12736,,,,,"Not available or not separately reported",40328,,,61670,,,,,"Not available or not separately reported"
2022,124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,11249,,,5690,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2022,124,"Canada",03,"Container ships",1.8049,,,15,,,53512,,,,,"Not available or not separately reported",4812,,,176546,,,,,"Not available or not separately reported",16000,,
2022,124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",28,,,7682,,,,,"Not available or not separately reported",,,"Not available or not separately reported",225282,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,156,"China",00,"All ships",1.1326,,,13,,,33353,,,46196,,,4482,,,236673,,,404389,,,24004,,
2022,156,"China",02,"Liquid bulk carriers",1.1424,,,12,,,20028,,,34873,,,,,"Not available or not separately reported",170618,,,323514,,,,,"Not available or not separately reported"
2022,156,"China",07,"Liquefied petroleum gas carriers",1.0368,,,14,,,9933,,,10782,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2022,156,"China",08,"Liquefied natural gas carriers",1.2229,,,11,,,101181,,,81446,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2022,156,"China",05,"Dry bulk carriers",2.0708,,,14,,,42843,,,78283,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2022,156,"China",04,"Dry breakbulk carriers",1.5736,,,17,,,10696,,,14947,,,,,"Not available or not separately reported",91649,,,103652,,,,,"Not available or not separately reported"
2022,156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,29355,,,10285,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2022,156,"China",03,"Container ships",0.7361,,,13,,,47751,,,,,"Not available or not separately reported",4482,,,236673,,,,,"Not available or not separately reported",24004,,
2022,156,"China",01,"Passenger ships",,,"Not available or not separately reported",12,,,21416,,,,,"Not available or not separately reported",,,"Not available or not separately reported",77499,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,191,"Croatia",00,"All ships",1.3556,,,18,,,3849,,,19533,,,3843,,,164998,,,179276,,,15413,,
2022,191,"Croatia",02,"Liquid bulk carriers",1.009,,,16,,,15962,,,27077,,,,,"Not available or not separately reported",84029,,,159855,,,,,"Not available or not separately reported"
2022,191,"Croatia",08,"Liquefied natural gas carriers",2.1743,,,6,,,109959,,,88111,,,,,"Not available or not separately reported",136980,,,121946,,,,,"Not available or not separately reported"
2022,191,"Croatia",05,"Dry bulk carriers",3.0802,,,25,,,18404,,,32323,,,,,"Not available or not separately reported",93274,,,179276,,,,,"Not available or not separately reported"
2022,191,"Croatia",04,"Dry breakbulk carriers",2.434,,,25,,,4303,,,5876,,,,,"Not available or not separately reported",66870,,,71955,,,,,"Not available or not separately reported"
2022,191,"Croatia",03,"Container ships",0.7205,,,16,,,41224,,,,,"Not available or not separately reported",3843,,,153773,,,,,"Not available or not separately reported",15413,,
2022,191,"Croatia",01,"Passenger ships",,,"Not available or not separately reported",18,,,3462,,,,,"Not available or not separately reported",,,"Not available or not separately reported",164998,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,208,"Denmark",00,"All ships",0.7521,,,21,,,10025,,,7454,,,2007,,,214286,,,182983,,,19630,,
2022,208,"Denmark",02,"Liquid bulk carriers",0.6812,,,17,,,7653,,,12192,,,,,"Not available or not separately reported",86990,,,164028,,,,,"Not available or not separately reported"
2022,208,"Denmark",07,"Liquefied petroleum gas carriers",1.2024,,,11,,,4091,,,4384,,,,,"Not available or not separately reported",17840,,,23484,,,,,"Not available or not separately reported"
2022,208,"Denmark",05,"Dry bulk carriers",0.8229,,,14,,,9309,,,15319,,,,,"Not available or not separately reported",94090,,,182983,,,,,"Not available or not separately reported"
2022,208,"Denmark",04,"Dry breakbulk carriers",0.8174,,,24,,,3134,,,4357,,,,,"Not available or not separately reported",30351,,,50640,,,,,"Not available or not separately reported"
2022,208,"Denmark",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,24680,,,12493,,,,,"Not available or not separately reported",72708,,,48988,,,,,"Not available or not separately reported"
2022,208,"Denmark",03,"Container ships",0.5958,,,15,,,22103,,,,,"Not available or not separately reported",2007,,,214286,,,,,"Not available or not separately reported",19630,,
2022,208,"Denmark",01,"Passenger ships",,,"Not available or not separately reported",21,,,10430,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183200,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,251,"France",00,"All ships",1.1958,,,18,,,21641,,,18567,,,5024,,,236583,,,320780,,,23964,,
2022,251,"France",02,"Liquid bulk carriers",1.0354,,,13,,,13039,,,22154,,,,,"Not available or not separately reported",170611,,,320780,,,,,"Not available or not separately reported"
2022,251,"France",07,"Liquefied petroleum gas carriers",1.1458,,,12,,,9284,,,10416,,,,,"Not available or not separately reported",49567,,,55316,,,,,"Not available or not separately reported"
2022,251,"France",08,"Liquefied natural gas carriers",1.1281,,,9,,,106891,,,83134,,,,,"Not available or not separately reported",163922,,,130171,,,,,"Not available or not separately reported"
2022,251,"France",05,"Dry bulk carriers",3.024,,,14,,,25606,,,44769,,,,,"Not available or not separately reported",107526,,,208521,,,,,"Not available or not separately reported"
2022,251,"France",04,"Dry breakbulk carriers",1.5292,,,19,,,4503,,,6454,,,,,"Not available or not separately reported",46295,,,72871,,,,,"Not available or not separately reported"
